Mariage,Mari,Femme,Date,Lieu,Source,Note
[Mariage549],[54654],[65851],1955,,,
[Mariage550],[54654],[65852],1966,,,
[Mariage551],[51973],[65853],1895-11-04,,,
[Mariage552],[55475],[65855],1911,,,
[Mariage553],[59242],[65857],1944,,,
[Mariage554],[65860],[65861],,,,
[Mariage555],[54488],[65859],1937,,,
[Mariage556],[65862],[65863],,,,
[Mariage557],[54526],[65864],1962,,,
[Mariage558],[65865],[65866],1904,,,
[Mariage559],[65867],[65868],,,,
[Mariage560],[65870],[65871],1893,,,
[Mariage561],[65873],[65874],,,,
[Mariage562],[65876],[65877],,,,
[Mariage563],[65879],[65880],,,,
[Mariage564],[65879],[65881],,,,
[Mariage565],[65885],[65886],,,,
[Mariage566],[62392],[65887],1937,,,
[Mariage567],[50943],[65878],1923,,,
[Mariage568],[65888],[65889],,,,
[Mariage569],[65892],[65893],,,,
[Mariage570],[53099],[65894],1939,,,
[Mariage571],[52023],[65895],1874,,,
[Mariage572],[52132],[65896],1908,,,
[Mariage573],[52183],[65897],1917,,,
[Mariage574],[65899],[65001],,,,
[Mariage575],[55514],[65901],1957,,,
[Mariage576],[65903],[65904],,,,
[Mariage577],[55054],[65905],1980,,,
[Mariage578],[65093],[65094],,,,
[Mariage579],[65908],[65910],,,,
[Mariage580],[65908],[65912],1922,,,
[Mariage581],[65913],[65914],,,,
[Mariage582],[65915],[65912],1913,,,
[Mariage583],[50548],[65919],2000,,,
[Mariage584],[65819],[65923],1921,,,
[Mariage585],[53124],[65923],1934,,,
[Mariage586],[54419],[65928],1953,,,
[Mariage587],[65931],[65932],,,,
[Mariage588],[65942],[65936],,,,
[Mariage589],[65944],[65945],,,,
[Mariage590],[51336],[65952],1913,,,
[Mariage591],[52381],[65953],1916,,,
[Mariage592],[65950],[65955],1850,,,
[Mariage593],[52316],[65964],1912,,,
[Mariage594],[52524],[65965],1894,,,
[Mariage595],[50370],[65966],1978,,,
[Mariage596],[51281],[65967],1937,,,
[Mariage597],[56035],[65969],1881,,,
[Mariage598],[65962],[65970],,,,
[Mariage599],[65464],[65971],,,,
[Mariage600],[52124],[65972],1937,,,
[Mariage601],[50781],[65973],1903,,,
[Mariage602],[61338],[65975],1957,,,
[Mariage603],[55537],[65991],1918,,,
[Mariage604],[52370],[64070],1908,,,
[Mariage605],[55538],[65993],1937,,,
[Mariage606],[55090],[65995],1980,,,
[Mariage607],[65996],[65997],1857,,,
[Mariage608],[65999],[66000],,,,
[Mariage609],[55540],[66001],1889,,,
[Mariage611],[66004],[66005],,,,
[Mariage612],[52894],[66006],1957,,,
[Mariage613],[66007],[66008],,,,
